,Categ,Priority,O*NET-SOC Code,Title,Description,Total Employment,Mean Hourly Wage,25th Percentile Hourly Wage,Median Hourly Wage,75th Percentile Hourly Wage,"Employment change, numeric, 2022-32","Employment change, percent, 2022-32",sustainable_wage,sustainable_wage_ind,stable_employment
246,,,13-2099.04,"Fraud Examiners, Investigators and Analysts","Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities.","127,020",40.18,25.04,35.48,48.39,8.3,6.1,10.459999999999997,True,True
247,,,15-1211.01,Health Informatics Specialists,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.","505,210",51.70,38.03,49.15,62.69,51.1,9.6,24.13,True,True
248,,,15-1299.00,"Computer Occupations, All Other",All computer occupations not listed separately.,"416,320",50.32,31.46,47.47,63.48,43.8,9.7,22.45,True,True
249,,,15-1299.01,Web Administrators,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.","416,320",50.32,31.46,47.47,63.48,43.8,9.7,22.45,True,True
250,,,15-1299.03,Document Management Specialists,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.","416,320",50.32,31.46,47.47,63.48,43.8,9.7,22.45,True,True
251,,,15-1299.09,Information Technology Project Managers,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.","416,320",50.32,31.46,47.47,63.48,43.8,9.7,22.45,True,True
252,,,15-2051.02,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.","159,630",55.40,37.09,49.76,65.68,59.4,35.2,24.74,True,True
253,,,15-2099.00,"Mathematical Science Occupations, All Other",All mathematical scientists not listed separately.,"3,840",39.50,24.39,34.47,46.93,0.3,6.2,9.45,True,True
254,,,17-1011.00,"Architects, Except Landscape and Naval","Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.","107,490",46.40,31.36,39.83,50.57,6.0,4.8,14.809999999999999,True,True
255,,,17-1012.00,Landscape Architects,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites.","18,120",37.41,26.38,35.2,45.61,0.2,0.7,10.180000000000003,True,True
256,,,17-1021.00,Cartographers and Photogrammetrists,"Research, study, and prepare maps and other spatial data in digital or graphic form for one or more purposes, such as legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems. May collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data.","13,270",36.20,28.20,34.56,43.60,0.7,5.0,9.540000000000003,True,True
257,,,17-1022.00,Surveyors,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.","47,770",34.16,23.48,30.33,41.29,2.3,4.6,5.309999999999999,True,True
258,,,17-1022.01,Geodetic Surveyors,"Measure large areas of the Earth's surface using satellite observations, global navigation satellite systems (GNSS), light detection and ranging (LIDAR), or related sources.","47,770",34.16,23.48,30.33,41.29,2.3,4.6,5.309999999999999,True,True
259,,,17-2021.00,Agricultural Engineers,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.","1,500",43.61,30.29,40.03,51.30,0.1,6.3,15.010000000000002,True,True
260,,,17-2041.00,Chemical Engineers,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.","20,380",56.64,40.71,51.09,64.66,1.7,8.1,26.070000000000004,True,True
261,,,17-2051.00,Civil Engineers,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.","307,570",46.82,35.74,43.24,56.51,16.2,5.0,18.220000000000002,True,True
262,,,17-2051.01,Transportation Engineers,"Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.","307,570",46.82,35.74,43.24,56.51,16.2,5.0,18.220000000000002,True,True
263,,,17-2051.02,Water/Wastewater Engineers,"Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.","307,570",46.82,35.74,43.24,56.51,16.2,5.0,18.220000000000002,True,True
264,,,17-2081.00,Environmental Engineers,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology.","45,440",48.88,36.32,46.41,59.39,2.9,6.1,21.389999999999997,True,True
265,,,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.","21,520",49.79,37.90,48.4,61.44,0.8,3.7,23.38,True,True
266,,,17-2111.02,Fire-Prevention and Protection Engineers,"Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards.","21,520",49.79,37.90,48.4,61.44,0.8,3.7,23.38,True,True
267,,,17-2112.02,Validation Engineers,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.","321,400",47.39,37.31,46.32,56.25,38.4,11.7,21.3,True,True
268,,,17-2121.00,Marine Engineers and Naval Architects,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.","7,450",50.75,39.10,46.59,57.48,0.1,0.7,21.570000000000004,True,True
269,,,17-2141.02,Automotive Engineers,"Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.","277,560",48.47,37.01,46.31,58.98,28.5,10.0,21.290000000000003,True,True
270,,,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Conduct subsurface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes, and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs.","7,390",48.70,35.70,46.87,58.65,0.0,0.3,21.849999999999998,True,False
271,,,17-2161.00,Nuclear Engineers,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal.","12,250",59.88,47.27,58.89,66.26,0.1,1.1,33.870000000000005,True,True
272,,,17-2171.00,Petroleum Engineers,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.,"20,540",68.66,48.60,63.37,81.36,0.5,2.5,38.349999999999994,True,True
273,,,17-2199.00,"Engineers, All Other",All engineers not listed separately.,"150,420",53.50,38.30,50.29,65.05,5.7,3.3,25.27,True,True
274,,,17-3011.00,Architectural and Civil Drafters,"Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings.","105,960",29.64,22.88,28.76,35.79,0.6,0.6,3.740000000000002,True,True
275,,,17-3012.00,Electrical and Electronics Drafters,"Prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment.","20,930",33.00,24.02,30.89,38.93,0.2,0.9,5.870000000000001,True,True
276,,,17-3013.00,Mechanical Drafters,"Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information.","47,540",31.59,23.27,29.48,37.47,-3.6,-7.2,4.460000000000001,True,False
